criterion "Is_bastille"	"who" "Medic2" required
	speak "faith.FollowMe3"
}

Rule faith_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_faith
    response faith_CHATTER_FOLLOW_ME
}

Response crash_CHATTER_FOLLOW_ME
{
	speak "crash.FollowMe0"
	speak "crash.FollowMe1"
}

Rule crash_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_crash
    response crash_CHATTER_FOLLOW_ME
}

Response jaeger_CHATTER_FOLLOW_ME
{
	speak "jaeger.FollowMe0"
	speak "jaeger.FollowMe1"
	speak "jaeger.FollowMe2"
}

Rule jaeger_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_jaeger
    response jaeger_CHATTER_FOLLOW_ME
}

Response wolfe_CHATTER_FOLLOW_ME
{
	speak "wolfe.FollowMe0"
	speak "wolfe.FollowMe1"
}

Rule wolfe_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_wolfe
    response wolfe_CHATTER_FOLLOW_ME
}

Response vegas_CHATTER_FOLLOW_ME
{
	speak "vegas.FollowMe0"
	speak "vegas.FollowMe1"
	speak "vegas.FollowMe2"
	speak "vegas.FollowMe3"
}

Rule vegas_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_vegas
    response vegas_CHATTER_FOLLOW_ME
}

Response sarge_CHATTER_FOLLOW_ME
{
	speak "sarge.FollowMe0"
	speak "sarge.FollowMe1"
	speak "sarge.FollowMe2"
}

Rule sarge_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_sarge
    response sarge_CHATTER_FOLLOW_ME
}

Response bastille_CHATTER_FOLLOW_ME
{
	speak "bastille.FollowMe0"
	speak "bastille.FollowMe1"
	speak "bastille.FollowMe2"
	speak "bastille.FollowMe3"
	speak "bastille.FollowMe4"
	speak "bastille.FollowMe5"
	speak "bastille.FollowMe6"
	speak "bastille.FollowMe7"
	speak "bastille.FollowMe8"
	speak "bastille.FollowMe9"
	speak "bastille.FollowMe10"
}

Rule bastille_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_bastille
    response bastille_CHATTER_FOLLOW_ME
}

Response wildcat_CHATTER_FOLLOW_ME
{
	speak "wildcat.FollowMe0"
	speak "wildcat.FollowMe1"
	speak "wildcat.FollowMe2"
}

Rule wildcat_CHATTER_FOLLOW_ME
{
    criteria ConceptCHATTER_FOLLOW_ME Is_wildcat
    response wildcat_CHATTER_FOLLOW_ME
}

Response sarge_CHATTER_SARGE_IDLE_REPLY
{
	speak "sarge.SargeIdleReply0"
	speak "sarge.SargeIdleReply1"
}

Rule sarge_CHATTER_SARGE_IDLE_REPLY
{
    criteria ConceptCHATTER_SARGE_IDLE_REPLY Is_sarge
    response sarge_CHATTER_SARGE_IDLE_REPLY
}

Response crash_CHATTER_SARGE_IDLE_REPLY
{
	speak "crash.SargeIdleReply0"
	speak "crash.SargeIdleReply1"
}

Rule crash_CHATTER_SARGE_IDLE_REPLY
{
    criteria ConceptCHATTER_SARGE_IDLE_REPLY Is_crash
    response crash_CHATTER_SARGE_IDLE_REPLY
}

Response crash_CHATTER_BIG_ALIEN_DEAD
{
	speak "crash.BigAlienDead0"
}

Rule crash_CHATTER_BIG_ALIEN_DEAD
{
    criteria ConceptCHATTER_BIG_ALIEN_DEAD Is_crash
    response crash_CHATTER_BIG_ALIEN_DEAD
}

Response faith_CHATTER_STIM_NOW
{
	speak "faith.ActivateStims0"
	speak "faith.ActivateStims1"
	speak "faith.ActivateStims2"
}

Rule faith_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_faith
    response faith_CHATTER_STIM_NOW
}

Response crash_CHATTER_STIM_NOW
{
	speak "crash.ActivateStims0"
	speak "crash.ActivateStims1"
	speak "crash.ActivateStims2"
	speak "crash.ActivateStims3"
}

Rule crash_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_crash
    response crash_CHATTER_STIM_NOW
}

Response jaeger_CHATTER_STIM_NOW
{
	speak "jaeger.ActivateStims0"
	speak "jaeger.ActivateStims1"
}

Rule jaeger_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_jaeger
    response jaeger_CHATTER_STIM_NOW
}

Response wolfe_CHATTER_STIM_NOW
{
	speak "wolfe.ActivateStims0"
	speak "wolfe.ActivateStims1"
	speak "wolfe.ActivateStims2"
	speak "wolfe.ActivateStims3"
	speak "wolfe.ActivateStims4"
	speak "wolfe.ActivateStims5"
	speak "wolfe.ActivateStims6"
}

Rule wolfe_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_wolfe
    response wolfe_CHATTER_STIM_NOW
}

Response vegas_CHATTER_STIM_NOW
{
	speak "vegas.ActivateStims0"
	speak "vegas.ActivateStims1"
	speak "vegas.ActivateStims2"
}

Rule vegas_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_vegas
    response vegas_CHATTER_STIM_NOW
}

Response sarge_CHATTER_STIM_NOW
{
	speak "sarge.ActivateStims0"
	speak "sarge.ActivateStims1"
	speak "sarge.ActivateStims2"
	speak "sarge.ActivateStims3"
	speak "sarge.ActivateStims4"
}

Rule sarge_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_sarge
    response sarge_CHATTER_STIM_NOW
}

Response bastille_CHATTER_STIM_NOW
{
	speak "bastille.ActivateStims0"
	speak "bastille.ActivateStims1"
}

Rule bastille_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_bastille
    response bastille_CHATTER_STIM_NOW
}

Response wildcat_CHATTER_STIM_NOW
{
	speak "wildcat.ActivateStims0"
	speak "wildcat.ActivateStims1"
	speak "wildcat.ActivateStims2"
	speak "wildcat.ActivateStims3"
}

Rule wildcat_CHATTER_STIM_NOW
{
    criteria ConceptCHATTER_STIM_NOW Is_wildcat
    response wildcat_CHATTER_STIM_NOW
}

Response wolfe_CHATTER_MISC
{
	speak "wolfe.Misc0"
	speak "wolfe.Misc1"
	speak "wolfe.Misc2"
	speak "wolfe.Misc3"
}

Rule wolfe_CHATTER_MISC
{
    criteria ConceptCHATTER_MISC Is_wolfe
    response wolfe_CHATTER_MISC
}

Response sarge_CHATTER_MISC
{
	speak "sarge.Misc0"
	speak "sarge.Misc1"
	speak "sarge.Misc2"
}

Rule sarge_CHATTER_MISC
{
    criteria ConceptCHATTER_MISC Is_sarge
    response sarge_CHATTER_MISC
}

Response bastille_CHATTER_MISC
{
	speak "bastille.Misc0"
	speak "bastille.Misc1"
	speak "bastille.Misc2"
	speak "bastille.Misc3"
	speak "bastille.Misc4"
	speak "bastille.Misc5"
	speak "bastille.Misc6"
	speak "bastille.Misc7"
	speak "bastille.Misc8"
	speak "bastille.Misc9"
	speak "bastille.Misc10"
	speak "bastille.Misc11"
}

Rule bastille_CHATTER_MISC
{
    criteria ConceptCHATTER_MISC Is_bastille
    response bastille_CHATTER_MISC
}

Response faith_CHATTER_REQUEST_SEAL_DOOR
{
	speak "faith.RequestSealDoor0"
	speak "faith.RequestSealDoor1"
	speak "faith.RequestSealDoor2"
}

Rule faith_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_faith
    response faith_CHATTER_REQUEST_SEAL_DOOR
}

Response crash_CHATTER_REQUEST_SEAL_DOOR
{
	speak "crash.RequestSealDoor0"
	speak "crash.RequestSealDoor1"
	speak "crash.RequestSealDoor2"
}

Rule crash_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_crash
    response crash_CHATTER_REQUEST_SEAL_DOOR
}

Response jaeger_CHATTER_REQUEST_SEAL_DOOR
{
	speak "jaeger.RequestSealDoor0"
	speak "jaeger.RequestSealDoor1"
}

Rule jaeger_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_jaeger
    response jaeger_CHATTER_REQUEST_SEAL_DOOR
}

Response wolfe_CHATTER_REQUEST_SEAL_DOOR
{
	speak "wolfe.RequestSealDoor0"
	speak "wolfe.RequestSealDoor1"
	speak "wolfe.RequestSealDoor2"
	speak "wolfe.RequestSealDoor3"
}

Rule wolfe_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_wolfe
    response wolfe_CHATTER_REQUEST_SEAL_DOOR
}

Response vegas_CHATTER_REQUEST_SEAL_DOOR
{
	speak "vegas.RequestSealDoor0"
	speak "vegas.RequestSealDoor1"
	speak "vegas.RequestSealDoor2"
}

Rule vegas_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_vegas
    response vegas_CHATTER_REQUEST_SEAL_DOOR
}

Response sarge_CHATTER_REQUEST_SEAL_DOOR
{
	speak "sarge.RequestSealDoor0"
	speak "sarge.RequestSealDoor1"
	speak "sarge.RequestSealDoor2"
	speak "sarge.RequestSealDoor3"
}

Rule sarge_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_sarge
    response sarge_CHATTER_REQUEST_SEAL_DOOR
}

Response bastille_CHATTER_REQUEST_SEAL_DOOR
{
	speak "bastille.RequestSealDoor0"
	speak "bastille.RequestSealDoor1"
	speak "bastille.RequestSealDoor2"
	speak "bastille.RequestSealDoor3"
}

Rule bastille_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_bastille
    response bastille_CHATTER_REQUEST_SEAL_DOOR
}

Response wildcat_CHATTER_REQUEST_SEAL_DOOR
{
	speak "wildcat.RequestSealDoor0"
	speak "wildcat.RequestSealDoor1"
}

Rule wildcat_CHATTER_REQUEST_SEAL_DOOR
{
    criteria ConceptCHATTER_REQUEST_SEAL_DOOR Is_wildcat
    response wildcat_CHATTER_REQUEST_SEAL_DOOR
}

Response faith_CHATTER_SUPPLIES_AMMO
{
	speak "faith.SuppliesAmmo0"
	speak "faith.SuppliesAmmo1"
}

Rule faith_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_faith
    response faith_CHATTER_SUPPLIES_AMMO
}

Response crash_CHATTER_SUPPLIES_AMMO
{
	speak "crash.SuppliesAmmo0"
	speak "crash.SuppliesAmmo1"
	speak "crash.SuppliesAmmo2"
}

Rule crash_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_crash
    response crash_CHATTER_SUPPLIES_AMMO
}

Response jaeger_CHATTER_SUPPLIES_AMMO
{
	speak "jaeger.SuppliesAmmo0"
	speak "jaeger.SuppliesAmmo1"
	speak "jaeger.SuppliesAmmo2"
}

Rule jaeger_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_jaeger
    response jaeger_CHATTER_SUPPLIES_AMMO
}

Response vegas_CHATTER_SUPPLIES_AMMO
{
	speak "vegas.SuppliesAmmo0"
}

Rule vegas_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_vegas
    response vegas_CHATTER_SUPPLIES_AMMO
}

Response sarge_CHATTER_SUPPLIES_AMMO
{
	speak "sarge.SuppliesAmmo0"
	speak "sarge.SuppliesAmmo1"
	speak "sarge.SuppliesAmmo2"
}

Rule sarge_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_sarge
    response sarge_CHATTER_SUPPLIES_AMMO
}

Response bastille_CHATTER_SUPPLIES_AMMO
{
	speak "bastille.SuppliesAmmo0"
	speak "bastille.SuppliesAmmo1"
	speak "bastille.SuppliesAmmo2"
	speak "bastille.SuppliesAmmo3"
	speak "bastille.SuppliesAmmo4"
}

Rule bastille_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_bastille
    response bastille_CHATTER_SUPPLIES_AMMO
}

Response wildcat_CHATTER_SUPPLIES_AMMO
{
	speak "wildcat.SuppliesAmmo0"
	speak "wildcat.SuppliesAmmo1"
}

Rule wildcat_CHATTER_SUPPLIES_AMMO
{
    criteria ConceptCHATTER_SUPPLIES_AMMO Is_wildcat
    response wildcat_CHATTER_SUPPLIES_AMMO
}

Response crash_CHATTER_HEALING_CRASH_REPLY
{
	speak "crash.HealingCrashReply0"
}

Rule crash_CHATTER_HEALING_CRASH_REPLY
{
    criteria ConceptCHATTER_HEALING_CRASH_REPLY Is_crash
    response crash_CHATTER_HEALING_CRASH_REPLY
}

Response bastille_CHATTER_HEALING_CRASH_REPLY
{
	speak "bastille.HealingCrashReply0"
}

Rule bastille_CHATTER_HEALING_CRASH_REPLY
{
    criteria ConceptCHATTER_HEALING_CRASH_REPLY Is_bastille
    response bastille_CHATTER_HEALING_CRASH_REPLY
}

Response faith_CHATTER_TEQUILA_REPLY
{
	speak "faith.TequilaReply0"
}

Rule faith_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_faith
    response faith_CHATTER_TEQUILA_REPLY
}

Response crash_CHATTER_TEQUILA_REPLY
{
	speak "crash.TequilaReply0"
}

Rule crash_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_crash
    response crash_CHATTER_TEQUILA_REPLY
}

Response jaeger_CHATTER_TEQUILA_REPLY
{
	speak "jaeger.TequilaReply0"
}

Rule jaeger_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_jaeger
    response jaeger_CHATTER_TEQUILA_REPLY
}

Response wolfe_CHATTER_TEQUILA_REPLY
{
	speak "wolfe.TequilaReply0"
	speak "wolfe.TequilaReply1"
}

Rule wolfe_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_wolfe
    response wolfe_CHATTER_TEQUILA_REPLY
}

Response sarge_CHATTER_TEQUILA_REPLY
{
	speak "sarge.TequilaReply0"
	speak "sarge.TequilaReply1"
}

Rule sarge_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_sarge
    response sarge_CHATTER_TEQUILA_REPLY
}

Response bastille_CHATTER_TEQUILA_REPLY
{
	speak "bastille.TequilaReply0"
}

Rule bastille_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_bastille
    response bastille_CHATTER_TEQUILA_REPLY
}

Response wildcat_CHATTER_TEQUILA_REPLY
{
	speak "wildcat.TequilaReply0"
}

Rule wildcat_CHATTER_TEQUILA_REPLY
{
    criteria ConceptCHATTER_TEQUILA_REPLY Is_wildcat
    response wildcat_CHATTER_TEQUILA_REPLY
}

Response wolfe_CHATTER_COMPLIMENTS_WILDCAT
{
	speak "wolfe.ComplimentsWildcat0"
	speak "wolfe.ComplimentsWildcat1"
	speak "wolfe.ComplimentsWildcat2"
	speak "wolfe.ComplimentsWildcat3"
}

Rule wolfe_CHATTER_COMPLIMENTS_WILDCAT
{
    criteria ConceptCHATTER_COMPLIMENTS_WILDCAT Is_wolfe
    response wolfe_CHATTER_COMPLIMENTS_WILDCAT
}

Response wolfe_CHATTER_AUTOGUN
{
	speak "wolfe.Autogun0"
	speak "wolfe.Autogun1"
	speak "wolfe.Autogun2"
}

Rule wolfe_CHATTER_AUTOGUN
{
    criteria ConceptCHATTER_AUTOGUN Is_wolfe
    response wolfe_CHATTER_AUTOGUN
}

Response wildcat_CHATTER_AUTOGUN
{
	speak "wildcat.Autogun0"
	speak "wildcat.Autogun1"
	speak "wildcat.Autogun2"
}

Rule wildcat_CHATTER_AUTOGUN
{
    criteria ConceptCHATTER_AUTOGUN Is_wildcat
    response wildcat_CHATTER_AUTOGUN
}

Response faith_CHATTER_HOLDING_EAST
{
	speak "faith.HoldingEast0"
	speak "faith.HoldingEast1"
	speak "faith.HoldingEast2"
}

Rule faith_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_faith
    response faith_CHATTER_HOLDING_EAST
}

Response crash_CHATTER_HOLDING_EAST
{
	speak "crash.HoldingEast0"
	speak "crash.HoldingEast1"
	speak "crash.HoldingEast2"
	speak "crash.HoldingEast3"
}

Rule crash_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_crash
    response crash_CHATTER_HOLDING_EAST
}

Response jaeger_CHATTER_HOLDING_EAST
{
	speak "jaeger.HoldingEast0"
	speak "jaeger.HoldingEast1"
	speak "jaeger.HoldingEast2"
}

Rule jaeger_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_jaeger
    response jaeger_CHATTER_HOLDING_EAST
}

Response wolfe_CHATTER_HOLDING_EAST
{
	speak "wolfe.HoldingEast0"
	speak "wolfe.HoldingEast1"
	speak "wolfe.HoldingEast2"
	speak "wolfe.HoldingEast3"
	speak "wolfe.HoldingEast4"
	speak "wolfe.HoldingEast5"
}

Rule wolfe_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_wolfe
    response wolfe_CHATTER_HOLDING_EAST
}

Response vegas_CHATTER_HOLDING_EAST
{
	speak "vegas.HoldingEast0"
	speak "vegas.HoldingEast1"
	speak "vegas.HoldingEast2"
}

Rule vegas_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_vegas
    response vegas_CHATTER_HOLDING_EAST
}

Response sarge_CHATTER_HOLDING_EAST
{
	speak "sarge.HoldingEast0"
	speak "sarge.HoldingEast1"
	speak "sarge.HoldingEast2"
	speak "sarge.HoldingEast3"
}

Rule sarge_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_sarge
    response sarge_CHATTER_HOLDING_EAST
}

Response bastille_CHATTER_HOLDING_EAST
{
	speak "bastille.HoldingEast0"
	speak "bastille.HoldingEast1"
	speak "bastille.HoldingEast2"
	speak "bastille.HoldingEast3"
}

Rule bastille_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_bastille
    response bastille_CHATTER_HOLDING_EAST
}

Response wildcat_CHATTER_HOLDING_EAST
{
	speak "wildcat.HoldingEast0"
	speak "wildcat.HoldingEast1"
	speak "wildcat.HoldingEast2"
}

Rule wildcat_CHATTER_HOLDING_EAST
{
    criteria ConceptCHATTER_HOLDING_EAST Is_wildcat
    response wildcat_CHATTER_HOLDING_EAST
}

Response wolfe_CHATTER_WOLFE_KILL
{
	speak "wolfe.WolfeKillStart0"
	speak "wolfe.WolfeKillStart1"
}

Rule wolfe_CHATTER_WOLFE_KILL
{
    criteria ConceptCHATTER_WOLFE_KILL Is_wolfe
    response wolfe_CHATTER_WOLFE_KILL
}

Response vegas_CHATTER_FIRST_BLOOD_WIN
{
	speak "vegas.FirstBloodWin0"
	speak "vegas.FirstBloodWin1"
}

Rule vegas_CHATTER_FIRST_BLOOD_WIN
{
    criteria ConceptCHATTER_FIRST_BLOOD_WIN Is_vegas
    response vegas_CHATTER_FIRST_BLOOD_WIN
}

Response faith_CHATTER_PAIN_LARGE
{
	speak "faith.LargePain0"
	speak "faith.LargePain1"
}

Rule faith_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_faith
    response faith_CHATTER_PAIN_LARGE
}

Response crash_CHATTER_PAIN_LARGE
{
	speak "crash.LargePain0"
	speak "crash.LargePain1"
	speak "crash.LargePain2"
	speak "crash.LargePain3"
}

Rule crash_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_crash
    response crash_CHATTER_PAIN_LARGE
}

Response jaeger_CHATTER_PAIN_LARGE
{
	speak "jaeger.LargePain0"
	speak "jaeger.LargePain1"
}

Rule jaeger_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_jaeger
    response jaeger_CHATTER_PAIN_LARGE
}

Response wolfe_CHATTER_PAIN_LARGE
{
	speak "wolfe.LargePain0"
	speak "wolfe.LargePain1"
	speak "wolfe.LargePain2"
	speak "wolfe.LargePain3"
	speak "wolfe.LargePain4"
}

Rule wolfe_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_wolfe
    response wolfe_CHATTER_PAIN_LARGE
}

Response vegas_CHATTER_PAIN_LARGE
{
	speak "vegas.LargePain0"
	speak "vegas.LargePain1"
}

Rule vegas_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_vegas
    response vegas_CHATTER_PAIN_LARGE
}

Response sarge_CHATTER_PAIN_LARGE
{
	speak "sarge.LargePain0"
	speak "sarge.LargePain1"
}

Rule sarge_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_sarge
    response sarge_CHATTER_PAIN_LARGE
}

Response bastille_CHATTER_PAIN_LARGE
{
	speak "bastille.LargePain0"
	speak "bastille.LargePain1"
}

Rule bastille_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_bastille
    response bastille_CHATTER_PAIN_LARGE
}

Response wildcat_CHATTER_PAIN_LARGE
{
	speak "wildcat.LargePain0"
	speak "wildcat.LargePain1"
}

Rule wildcat_CHATTER_PAIN_LARGE
{
    criteria ConceptCHATTER_PAIN_LARGE Is_wildcat
    response wildcat_CHATTER_PAIN_LARGE
}

Response faith_CHATTER_CRASH
{
	speak "faith.CallCrash0"
	speak "faith.CallCrash1"
}

Rule faith_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_faith
    response faith_CHATTER_CRASH
}

Response jaeger_CHATTER_CRASH
{
	speak "jaeger.CallCrash0"
	speak "jaeger.CallCrash1"
}

Rule jaeger_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_jaeger
    response jaeger_CHATTER_CRASH
}

Response wolfe_CHATTER_CRASH
{
	speak "wolfe.CallCrash0"
	speak "wolfe.CallCrash1"
}

Rule wolfe_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_wolfe
    response wolfe_CHATTER_CRASH
}

Response vegas_CHATTER_CRASH
{
	speak "vegas.CallCrash0"
	speak "vegas.CallCrash1"
}

Rule vegas_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_vegas
    response vegas_CHATTER_CRASH
}

Response sarge_CHATTER_CRASH
{
	speak "sarge.CallCrash0"
	speak "sarge.CallCrash1"
}

Rule sarge_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_sarge
    response sarge_CHATTER_CRASH
}

Response bastille_CHATTER_CRASH
{
	speak "bastille.CallCrash0"
	speak "bastille.CallCrash1"
}

Rule bastille_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_bastille
    response bastille_CHATTER_CRASH
}

Response wildcat_CHATTER_CRASH
{
	speak "wildcat.CallCrash0"
	speak "wildcat.CallCrash1"
}

Rule wildcat_CHATTER_CRASH
{
    criteria ConceptCHATTER_CRASH Is_wildcat
    response wildcat_CHATTER_CRASH
}

Response faith_CHATTER_SYNUP_REPLY
{
	speak "faith.SynUpReply0"
	speak "faith.SynUpReply1"
}

Rule faith_CHATTER_SYNUP_REPLY
{
    criteria ConceptCHATTER_SYNUP_REPLY Is_faith
    response faith_CHATTER_SYNUP_REPLY
}

Response bastille_CHATTER_SYNUP_REPLY
{
	speak "bastille.SynUpReply0"
}

Rule bastille_CHATTER_SYNUP_REPLY
{
    criteria ConceptCHATTER_SYNUP_REPLY Is_bastille
    response bastille_CHATTER_SYNUP_REPLY
}

Response faith_CHATTER_AMMO
{
	speak "faith.Ammo0"
	speak "faith.Ammo1"
}

Rule faith_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_faith
    response faith_CHATTER_AMMO
}

Response crash_CHATTER_AMMO
{
	speak "crash.Ammo0"
}

Rule crash_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_crash
    response crash_CHATTER_AMMO
}

Response jaeger_CHATTER_AMMO
{
	speak "jaeger.Ammo0"
}

Rule jaeger_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_jaeger
    response jaeger_CHATTER_AMMO
}

Response wolfe_CHATTER_AMMO
{
	speak "wolfe.Ammo0"
}

Rule wolfe_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_wolfe
    response wolfe_CHATTER_AMMO
}

Response vegas_CHATTER_AMMO
{
	speak "vegas.Ammo0"
}

Rule vegas_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_vegas
    response vegas_CHATTER_AMMO
}

Response sarge_CHATTER_AMMO
{
	speak "sarge.Ammo0"
}

Rule sarge_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_sarge
    response sarge_CHATTER_AMMO
}

Response bastille_CHATTER_AMMO
{
	speak "bastille.Ammo0"
}

Rule bastille_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_bastille
    response bastille_CHATTER_AMMO
}

Response wildcat_CHATTER_AMMO
{
	speak "wildcat.Ammo0"
}

Rule wildcat_CHATTER_AMMO
{
    criteria ConceptCHATTER_AMMO Is_wildcat
    response wildcat_CHATTER_AMMO
}

Response faith_CHATTER_SERIOUS_INJURY
{
	speak "faith.SeriousInjury0"
	speak "faith.SeriousInjury1"
}

Rule faith_CHATTER_SERIOUS_INJURY
{
    criteria ConceptCHATTER_SERIOUS_INJURY Is_faith
    response faith_CHATTER_SERIOUS_INJURY
}

Response bastille_CHATTER_SERIOUS_INJURY
{
	speak "bastille.SeriousInjury0"
	speak "bastille.SeriousInjury1"
}

Rule bastille_CHATTER_SERIOUS_INJURY
{
    criteria ConceptCHATTER_SERIOUS_INJURY Is_bastille
    response bastille_CHATTER_SERIOUS_INJURY
}

Response faith_CHATTER_SHIELDBUG_HINT
{
	speak "faith.ShieldbugHint0"
	speak "faith.ShieldbugHint1"
}

Rule faith_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_faith
    response faith_CHATTER_SHIELDBUG_HINT
}

Response crash_CHATTER_SHIELDBUG_HINT
{
	speak "crash.ShieldbugHint0"
	speak "crash.ShieldbugHint1"
	speak "crash.ShieldbugHint2"
}

Rule crash_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_crash
    response crash_CHATTER_SHIELDBUG_HINT
}

Response jaeger_CHATTER_SHIELDBUG_HINT
{
	speak "jaeger.ShieldbugHint0"
	speak "jaeger.ShieldbugHint1"
	speak "jaeger.ShieldbugHint2"
}

Rule jaeger_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_jaeger
    response jaeger_CHATTER_SHIELDBUG_HINT
}

Response wolfe_CHATTER_SHIELDBUG_HINT
{
	speak "wolfe.ShieldbugHint0"
	speak "wolfe.ShieldbugHint1"
	speak "wolfe.ShieldbugHint2"
	speak "wolfe.ShieldbugHint3"
}

Rule wolfe_CHATTER_SHIELDBUG_HINT
{
    criteria ConceptCHATTER_SHIELDBUG_HINT Is_wolfe
    response wolfe_CHATTER_SHIELDBUG_HINT
}

Response vegas_CHATTER_SHIELDBUG_HINT
{
